0,0,3000,6000,3000,6000,6000,0,6000,0,3000,6000,3000,6000,6000,0,6000,0,3000
1,0,6000,6000,6000,6000,9000,0,9000,0,6000,6000,6000,6000,9000,0,9000,0,3000
2,6000,6000,9000,6000,9000,6000,6000,6000,6000,3000,9000,3000,9000,3000,6000,3000,0,3000
2,6000,6000,6000,6000,9000,6000,9000,6000,6000,9000,6000,9000,9000,9000,9000,9000,0,3000
3,9000,6000,12000,6000,12000,6000,9000,6000,9000,3000,12000,3000,12000,3000,9000,3000,0,3000
3,9000,6000,9000,6000,12000,6000,12000,6000,9000,9000,9000,9000,12000,9000,12000,9000,0,3000
4,12000,3000,15000,3000,15000,3000,12000,3000,12000,0,15000,0,15000,0,12000,0,0,3000
4,12000,3000,12000,3000,15000,3000,15000,3000,12000,6000,12000,6000,15000,6000,15000,6000,0,3000
5,12000,9000,15000,9000,15000,9000,12000,9000,12000,6000,15000,6000,15000,6000,12000,6000,0,3000
5,12000,9000,12000,9000,15000,9000,15000,9000,12000,12000,12000,12000,15000,12000,15000,12000,0,3000
6,0,3000,6000,3000,6000,3000,0,3000,0,0,6000,0,6000,0,0,0,3000,6000
6,6000,6000,6000,6000,0,6000,0,6000,6000,3000,6000,3000,0,3000,0,3000,3000,6000
6,6000,9000,6000,9000,0,9000,0,9000,6000,6000,6000,6000,0,6000,0,6000,3000,6000
6,6000,9000,0,9000,0,9000,6000,9000,6000,12000,0,12000,0,12000,6000,12000,3000,6000
7,9000,6000,9000,6000,6000,6000,6000,6000,9000,3000,9000,3000,6000,3000,6000,3000,3000,6000
7,9000,6000,6000,6000,6000,6000,9000,6000,9000,9000,6000,9000,6000,9000,9000,9000,3000,6000
8,12000,3000,12000,6000,12000,6000,12000,3000,15000,3000,15000,6000,15000,6000,15000,3000,3000,6000
8,12000,3000,12000,3000,12000,6000,12000,6000,9000,3000,9000,3000,9000,6000,9000,6000,3000,6000
8,12000,6000,12000,6000,12000,9000,12000,9000,9000,6000,9000,6000,9000,9000,9000,9000,3000,6000
8,12000,6000,12000,9000,12000,9000,12000,6000,15000,6000,15000,9000,15000,9000,15000,6000,3000,6000
9,9000,6000,9000,6000,6000,6000,6000,6000,9000,3000,9000,3000,6000,3000,6000,3000,6000,9000
9,9000,6000,6000,6000,6000,6000,9000,6000,9000,9000,6000,9000,6000,9000,9000,9000,6000,9000
