R,1,13885,30554,2900,2805,19659,0
R,2,13875,14319,2900,22606,17436,0
R,3,24094,12150,2900,28887,41153,0
R,4,13875,24448,2900,62209,25755,0

R,5,13885,30554,2900,2805,19659,2900
R,6,7281,14441,2900,22606,15356,2900
R,7,6594,14319,2900,29887,17436,2900
R,8,24094,12150,2900,28887,41153,2900
R,9,4964,9049,2900,52981,41153,2900
R,10,13875,27750,2900,62209,25755,2900

R,11,13885,33456,2900,2805,16757,5800
R,12,7281,19029,2900,22606,15356,5800
R,13,11546,8498,2900,29887,23257,5800
R,14,4625,8493,2900,24262,44810,5800
R,15,24094,12150,2900,28887,41153,5800
R,16,4964,9049,2900,52981,41153,5800
R,17,3302,6625,2900,58907,29136,5800
R,18,13875,33697,2900,62209,22246,5800

R,19,13885,21548,2900,2805,11954,8700
R,20,7281,19029,2900,22606,15356,8700
R,21,17177,11599,2900,2805,38614,8700
R,22,13885,20246,2900,32501,37460,8700
R,23,11559,9049,2900,46386,41153,8700
R,24,3302,6625,2900,58907,29136,8700
R,25,13875,28078,2900,62209,20156,8700

R,26,16690,7874,2900,0,20632,11600
R,27,13864,5017,2900,2826,28485,11600
R,28,7281,13758,2900,22606,20627,11600
R,29,13885,14901,2900,2805,38614,11600
R,30,3292,11599,2900,16690,38614,11600
R,31,36989,12742,2900,32501,37460,11600
R,32,13885,7504,2900,32501,50202,11600

R,33,13885,14901,2900,2805,38614,14500
R,34,7885,21040,2900,32501,37460,14500
R,35,20447,12742,2900,49022,37460,14500
